time,China,Italy,Japan,UK
1,27,0,0,0
2,27,0,0,0
3,27,0,0,0
4,44,0,0,0
5,44,0,0,0
6,59,0,0,0
7,59,0,0,0
8,59,0,0,0
9,59,0,0,0
10,59,0,0,0
11,59,0,0,0
12,59,0,0,0
13,59,0,0,0
14,59,0,0,0
15,59,0,0,0
16,59,0,1,0
17,59,0,1,0
18,63,0,1,0
19,80,0,1,0
20,216,0,1,0
21,235,0,1,0
22,386,0,1,0
23,526,0,1,0
24,623,0,1,0
25,882,0,2,0
26,1323,0,2,0
27,1988,0,3,0
28,2775,0,3,0
29,4528,0,4,0
30,5994,0,7,0
31,7734,0,11,0
32,9714,3,14,2
33,11809,3,15,2
34,14399,3,19,2
35,17211,3,20,2
36,20448,3,20,2
37,24320,3,25,2
38,28047,3,25,2
39,31207,3,25,3
40,34625,3,25,3
41,37232,3,25,4
42,40206,3,25,4
43,42696,3,25,8
44,44724,3,25,8
45,59865,3,29,9
46,64021,3,30,9
47,66559,3,38,9
48,68566,3,52,9
49,70618,3,59,9
50,72508,3,59,9
51,74258,3,66,9
52,74652,3,84,9
53,75543,3,93,9
54,76369,17,105,9
55,77016,79,132,9
56,77234,132,144,13
57,77749,229,144,13
58,78159,322,164,13
59,78598,400,186,13
60,78927,650,210,16
61,79355,888,230,18
62,79929,1128,239,23
63,80134,1689,254,36
64,80261,1835,254,40
65,80380,2502,268,51
66,80497,3089,317,85
67,80667,3858,349,115
68,80768,4636,408,163
69,80814,5883,455,206
70,80859,7375,488,273
71,80879,9172,514,321
72,80908,10149,568,373
73,80932,12462,619,456
74,80954,15113,675,590
75,80973,17660,737,707
76,80995,17750,780,1140
77,81020,23980,814,1391
78,81063,27980,824,1543
79,81086,31506,829,1950
80,81130,35713,873,2630
81,81229,41035,950,3277
82,81281,47021,1007,3983
83,81346,53578,1046,5018
84,81484,59138,1089,5683
85,81553,63927,1128,6650
86,81631,69176,1193,8077
87,81733,74386,1268,9529
88,81827,80539,1364,11658
89,81946,86498,1499,14543
90,82059,92472,1693,17089
91,82157,97689,1866,19522
92,82241,101739,1953,22141
93,82295,105792,1953,25150
94,82395,110574,2178,29474
95,82465,115242,2617,33718
